"time","lasttime","lat","lng","speed","course","altitude","comment"
"2018-03-04 17:34:25","2018-03-04 17:34:25",37.87583,-122.03833,15,310,473.05,"Pa=64022/Rh=35.03/Ti=35.81 Tracksoar v1.2"
"2018-03-04 17:35:26","2018-03-04 17:35:26",37.87583,-122.038,7,158,782.73,"Pa=93211/Rh=34.76/Ti=22.21 Tracksoar v1.2"
"2018-03-04 17:36:26","2018-03-04 17:36:26",37.87517,-122.03867,17,236,1007.97,"Pa=89011/Rh=32.27/Ti=34.43 Tracksoar v1.2"
"2018-03-04 17:37:26","2018-03-04 17:37:26",37.87467,-122.03867,15,102,1202.74,"Pa=88819/Rh=34.82/Ti=45.36 Tracksoar v1.2"
"2018-03-04 17:38:26","2018-03-04 17:38:26",37.87433,-122.03767,15,54,1412.14,"Pa=88075/Rh=35.33/Ti=36.83 Tracksoar v1.2"
"2018-03-04 17:39:26","2018-03-04 17:39:26",37.87283,-122.036,22,154,1670.3,"Pa=83845/Rh=35.34/Ti=32.41 Tracksoar v1.2"
"2018-03-04 17:40:27","2018-03-04 17:40:27",37.87083,-122.0355,9,176,1933.04,"Pa=80557/Rh=34.09/Ti=31.79 Tracksoar v1.2"
"2018-03-04 17:41:27","2018-03-04 17:41:27",37.8685,-122.03367,35,142,2206.75,"Pa=15642/Rh=32.41/Ti=31.35 Tracksoar v1.2"
"2018-03-04 17:42:27","2018-03-04 17:42:27",37.86583,-122.03183,26,140,2512.77,"Pa=74885/Rh=29.49/Ti=30.77 Tracksoar v1.2"
"2018-03-04 17:43:27","2018-03-04 17:44:26",37.86283,-122.02867,24,129,2787.09,"Pa=72681/Rh=29.78/Ti=30.24 Tracksoar v1.2"
"2018-03-04 17:45:08","2018-03-04 17:45:08",37.86,-122.02633,24,171,3060.19,"Pa=69811/Rh=27.73/Ti=29.42 Tracksoar v1.2"
"2018-03-04 17:45:28","2018-03-04 17:46:06",37.85633,-122.0245,35,167,3344.27,"Pa=67215/Rh=30.82/Ti=-132.78 Tracksoar v1.2"
"2018-03-04 17:46:37","2018-03-04 17:46:37",37.85,-122.02267,43,173,3656.69,"Pa=61430/Rh=29.99/Ti=28.30 Tracksoar v1.2"
"2018-03-04 17:47:37","2018-03-04 17:47:37",37.84417,-122.01933,39,151,3975.81,"Pa=62117/Rh=31.81/Ti=27.06 Tracksoar v1.2"
"2018-03-04 17:48:55","2018-03-04 17:49:26",37.83333,-122.01267,74,157,4312.01,"Pa=61383/Rh=25.01/Ti=26.88 Tracksoar v1.2"
"2018-03-04 17:49:55","2018-03-04 17:49:55",37.82367,-122.006,83,159,4569.56,"Pa=56955/Rh=25.23/Ti=25.41 Tracksoar v1.2"
"2018-03-04 17:50:55","2018-03-04 17:50:55",37.81433,-121.997,72,139,4828.34,"Pa=55226/Rh=25.04/Ti=24.70 Tracksoar v1.2"
"2018-03-04 17:51:56","2018-03-04 17:51:56",37.8065,-121.985,98,125,5101.13,"Pa=53343/Rh=25.59/Ti=24.02 Tracksoar v1.2"
"2018-03-04 17:52:56","2018-03-04 17:52:56",37.79883,-121.9705,93,122,5385.51,"Pa=65843/Rh=24.07/Ti=23.47 Tracksoar v1.2"
"2018-03-04 17:53:56","2018-03-04 17:53:56",37.7905,-121.9555,113,120,5683.91,"Pa=49582/Rh=24.18/Ti=22.97 Tracksoar v1.2"
"2018-03-04 17:56:14","2018-03-04 17:56:14",37.771,-121.91733,100,122,6280.71,"Pa=15594/Rh=27.96/Ti=1.69 Tracksoar v1.2"
"2018-03-04 17:57:14","2018-03-04 17:57:46",37.76217,-121.89833,124,130,6557.77,"Pa=44179/Rh=28.50/Ti=1.72 Tracksoar v1.2"
"2018-03-04 17:58:15","2018-03-04 17:58:15",37.75367,-121.8775,130,123,6818.99,"Pa=42705/Rh=26.89/Ti=1.67 Tracksoar v1.2"
"2018-03-04 17:59:15","2018-03-04 17:59:15",37.745,-121.85633,130,117,7071.06,"Pa=40840/Rh=27.26/Ti=1.62 Tracksoar v1.2"
"2018-03-04 18:00:15","2018-03-04 18:01:06",37.73783,-121.8355,119,116,7374.33,"Pa=39378/Rh=27.06/Ti=1.59 Tracksoar v1.2"
"2018-03-04 18:02:24","2018-03-04 18:02:24",37.72233,-121.784,150,106,8001,"Pa=28949/Rh=24.87/Ti=-99.23 Tracksoar v1.2"
"2018-03-04 18:03:24","2018-03-04 18:03:24",37.71617,-121.7575,133,103,8259.78,"Pa=27892/Rh=24.94/Ti=-103.71 Tracksoar v1.2"
"2018-03-04 18:04:25","2018-03-04 18:04:25",37.71117,-121.73167,141,102,8531.35,"Pa=26592/Rh=25.52/Ti=-100.41 Tracksoar v1.2"
"2018-03-04 18:05:25","2018-03-04 18:06:06",37.70583,-121.706,148,104,8804.76,"Pa=25677/Rh=24.66/Ti=-101.13 Tracksoar v1.2"
"2018-03-04 18:06:25","2018-03-04 18:06:25",37.70133,-121.67917,139,99,9085.17,"Pa=24667/Rh=24.40/Ti=158.88 Tracksoar v1.2"
"2018-03-04 18:07:25","2018-03-04 18:07:25",37.697,-121.6525,150,96,9335.41,"Pa=36818/Rh=16.18/Ti=-102.51 Tracksoar v1.2"
"2018-03-04 18:08:26","2018-03-04 18:08:26",37.69267,-121.62367,156,104,9626.5,"Pa=22744/Rh=23.24/Ti=-103.35 Tracksoar v1.2"
"2018-03-04 18:09:26","2018-03-04 18:09:26",37.6885,-121.59067,178,94,9928.56,"Pa=21613/Rh=23.00/Ti=-103.96 Tracksoar v1.2"
"2018-03-04 18:10:26","2018-03-04 18:10:26",37.68517,-121.55283,209,97,10251.34,"Pa=20677/Rh=22.46/Ti=-104.84 Tracksoar v1.2"
"2018-03-04 18:11:26","2018-03-04 18:13:10",37.68083,-121.51433,206,99,10490.3,"Pa=19091/Rh=21.75/Ti=-106.34 Tracksoar v1.2"
"2018-03-04 18:14:27","2018-03-04 18:14:27",37.66817,-121.4175,167,97,11267.85,"Pa=17885/Rh=17.88/Ti=-109.22 Tracksoar v1.2"
"2018-03-04 18:15:27","2018-03-04 18:15:27",37.66583,-121.38717,148,96,11539.73,"Pa=16867/Rh=17.36/Ti=-111.13 Tracksoar v1.2"
"2018-03-04 18:16:27","2018-03-04 18:17:28",37.66367,-121.3575,159,96,11774.42,"Pa=15436/Rh=15.98/Ti=-114.93 Tracksoar v1.2"
"2018-03-04 18:18:28","2018-03-04 18:18:28",37.65883,-121.309,117,91,12360.25,"Pa=14888/Rh=17.38/Ti=-116.61 Tracksoar v1.2"
"2018-03-04 18:19:28","2018-03-04 18:20:12",37.65983,-121.2875,96,88,12597.69,"Pa=14304/Rh=15.90/Ti=159.46 Tracksoar v1.2"
"2018-03-04 18:20:28","2018-03-04 18:20:28",37.6615,-121.2675,109,83,12830.25,"Pa=22466/Rh=5.38/Ti=-119.45 Tracksoar v1.2"
"2018-03-04 18:21:28","2018-03-04 18:21:28",37.66383,-121.24583,115,84,13065.25,"Pa=13222/Rh=18.34/Ti=-120.33 Tracksoar v1.2"
"2018-03-04 18:22:29","2018-03-04 18:23:29",37.66283,-121.22567,96,93,13336.22,"Pa=12192/Rh=17.65/Ti=-121.88 Tracksoar v1.2"
"2018-03-04 18:24:29","2018-03-04 18:25:12",37.66233,-121.19317,100,90,13866.27,"Pa=11726/Rh=17.74/Ti=-122.67 Tracksoar v1.2"
"2018-03-04 18:25:55","2018-03-04 18:25:55",37.66267,-121.1685,80,97,14187.83,"Pa=13777/Rh=14.94/Ti=15.28 Tracksoar v1.2"
"2018-03-04 18:26:55","2018-03-04 18:27:34",37.66483,-121.15267,81,81,14462.46,"Pa=13704/Rh=15.81/Ti=-6.90 Tracksoar v1.2"
"2018-03-04 18:27:56","2018-03-04 18:28:32",37.6665,-121.1355,89,89,14732.2,"Pa=12636/Rh=0.00/Ti=-7.13 Tracksoar v1.2"
"2018-03-04 18:28:56","2018-03-04 18:28:56",37.66667,-121.1215,59,87,14961.72,"Pa=12168/Rh=17.83/Ti=-7.35 Tracksoar v1.2"
"2018-03-04 18:29:56","2018-03-04 18:29:56",37.6685,-121.10983,70,80,15216.53,"Pa=11758/Rh=17.53/Ti=-7.42 Tracksoar v1.2"
"2018-03-04 18:30:56","2018-03-04 18:31:52",37.67233,-121.09583,81,67,15453.97,"Pa=11297/Rh=17.93/Ti=-8.80 Tracksoar v1.2"
"2018-03-04 18:32:34","2018-03-04 18:32:34",37.67517,-121.08167,78,79,15677.69,"Pa=10869/Rh=17.76/Ti=-7.66 Tracksoar v1.2"
"2018-03-04 18:32:57","2018-03-04 18:33:34",37.67817,-121.06683,76,75,15909.95,"Pa=10492/Rh=17.62/Ti=-7.83 Tracksoar v1.2"
"2018-03-04 18:33:57","2018-03-04 18:34:34",37.678,-121.053,67,90,16140.99,"Pa=10144/Rh=18.08/Ti=-7.73 Tracksoar v1.2"
"2018-03-04 18:34:57","2018-03-04 18:34:57",37.67683,-121.043,52,92,16367.46,"Pa=9731/Rh=17.45/Ti=23.31 Tracksoar v1.2"
"2018-03-04 18:35:57","2018-03-04 18:35:57",37.67767,-121.03617,37,69,16629.58,"Pa=9936/Rh=16.60/Ti=-7.77 Tracksoar v1.2"
"2018-03-04 18:36:58","2018-03-04 18:36:58",37.68083,-121.03,59,51,16924.93,"Pa=8952/Rh=17.31/Ti=-8.85 Tracksoar v1.2"
"2018-03-04 18:37:58","2018-03-04 18:37:58",37.68567,-121.0195,67,64,17167.86,"Pa=8585/Rh=16.93/Ti=-7.92 Tracksoar v1.2"
"2018-03-04 18:38:58","2018-03-04 18:38:58",37.68767,-121.007,72,82,17407.13,"Pa=8292/Rh=16.73/Ti=-7.99 Tracksoar v1.2"
"2018-03-04 18:39:58","2018-03-04 18:39:58",37.68867,-120.99733,43,69,17682.36,"Pa=7964/Rh=0.00/Ti=-8.08 Tracksoar v1.2"
"2018-03-04 18:40:59","2018-03-04 18:41:40",37.69033,-120.9945,17,44,17984.42,"Pa=7629/Rh=16.47/Ti=-8.06 Tracksoar v1.2"
"2018-03-04 18:41:59","2018-03-04 18:41:59",37.69233,-120.991,26,53,18234.36,"Pa=7308/Rh=15.98/Ti=-6.89 Tracksoar v1.2"
"2018-03-04 18:44:08","2018-03-04 18:44:08",37.696,-120.97967,22,75,18802.5,"Pa=6734/Rh=15.98/Ti=-8.32 Tracksoar v1.2"
"2018-03-04 18:45:08","2018-03-04 18:45:58",37.69867,-120.97467,30,44,19076.82,"Pa=6454/Rh=17.51/Ti=-8.27 Tracksoar v1.2"
"2018-03-04 18:46:08","2018-03-04 18:46:40",37.703,-120.9695,26,57,19349.01,"Pa=6229/Rh=18.39/Ti=-8.18 Tracksoar v1.2"
"2018-03-04 18:47:09","2018-03-04 18:47:09",37.70817,-120.96517,46,35,19605.04,"Pa=6003/Rh=16.91/Ti=-7.82 Tracksoar v1.2"
"2018-03-04 18:48:09","2018-03-04 18:48:09",37.71267,-120.96283,33,16,19852.84,"Pa=5787/Rh=16.49/Ti=-7.67 Tracksoar v1.2"
"2018-03-04 18:49:09","2018-03-04 18:49:09",37.71733,-120.95783,50,53,20122.59,"Pa=5529/Rh=0.00/Ti=-7.65 Tracksoar v1.2"
