 Time, Altitude (m), Tracksoar Altitude, Tracksoar Latitude, Tracksoar Longitude, ThermoCouple Internal Temp (C), ThermoCouple Temp (C), Altimeter Temp (C),,,Distance (km),,,time elapsed,,"launch-1405, burst-5756, land-6781",
 08:04:59,78.16,75.8,37.88,-122.04,0,0,21.53,0,0,0, 08:04:59,8:04:59,0:00:00,0,,
 08:05:01,78.24,75.8,37.88,-122.04,22.75,24.75,21.55,0,0,0, 08:05:01,8:05:01,0:00:02,2,,0.08
 08:05:02,80.97,75.8,37.88,-122.04,22.75,24.75,21.57,0,0,0, 08:05:02,8:05:02,0:00:03,3,,2.73
 08:05:04,81.29,75.8,37.88,-122.04,22.81,24.75,21.59,0,0,0, 08:05:04,8:05:04,0:00:05,5,,0.32
 08:05:06,81.61,75.8,37.88,-122.04,22.81,24.75,21.61,0,0,0, 08:05:06,8:05:06,0:00:07,7,,0.32
 08:05:07,80.81,75.8,37.88,-122.04,22.81,24.75,21.64,0,0,0, 8:05:07,8:05:07,0:00:08,8,,-0.8
 08:05:09,79.04,75.8,37.88,-122.04,22.81,24.75,21.66,0,0,0, 8:05:09,8:05:09,0:00:10,10,,-1.77
 08:05:10,78.8,75.8,37.88,-122.04,22.81,24.75,21.68,0,0,0, 08:05:10,8:05:10,0:00:11,11,,-0.24
 08:05:12,78.16,75.8,37.88,-122.04,22.81,24.75,21.7,0,0,0, 08:05:12,8:05:12,0:00:13,13,,-0.64
 08:05:14,78.64,75.8,37.88,-122.04,22.81,24.75,21.71,0,0,0, 08:05:14,8:05:14,0:00:15,15,,0.48
 08:05:15,78.4,75.8,37.88,-122.04,22.81,24.75,21.73,0,0,0, 08:05:15,8:05:15,0:00:16,16,,-0.24
 08:05:17,78,75.8,37.88,-122.04,22.81,24.75,21.75,0,0,0, 08:05:17,8:05:17,0:00:18,18,,-0.4
 08:05:19,78,75.8,37.88,-122.04,22.81,24.75,21.76,0,0,0, 08:05:19,8:05:19,0:00:20,20,,0
 08:05:20,78.16,75.8,37.88,-122.04,22.81,24.75,21.78,0,0,0, 08:05:20,8:05:20,0:00:21,21,,0.16
 08:05:22,78.24,79.1,37.88,-122.04,22.81,24.75,21.79,0,0,0, 08:05:22,8:05:22,0:00:23,23,,0.08
 08:05:23,78.08,79.1,37.88,-122.04,22.81,24.5,21.81,0,0,0, 08:05:23,8:05:23,0:00:24,24,,-0.16
 08:05:25,78.08,79.1,37.88,-122.04,22.81,24.5,21.83,0,0,0, 08:05:25,8:05:25,0:00:26,26,,0
 08:05:27,78.08,79.1,37.88,-122.04,22.75,24.5,21.84,0,0,0, 08:05:27,8:05:27,0:00:28,28,,0
 08:05:28,77.92,79.1,37.88,-122.04,22.81,24.5,21.86,0,0,0, 08:05:28,8:05:28,0:00:29,29,,-0.16
 08:05:30,78,79.1,37.88,-122.04,22.75,24.5,21.87,0,0,0, 08:05:30,8:05:30,0:00:31,31,,0.08
